num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,elev_brocal_m,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,anios_span,tasa_abatimiento_m_anio,n_obs,en_bbox_piloto,nivel_estres
8104,Pz-57,1501,VALLE DE TOLUCA,México,19.432467,-99.908067,2575.6,1996.0,1997.0,8.6,8.85,0.25,1.0,0.25,2.0,False,LEVE
5096,.137-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.526527,-99.266855,2370.0,1996.0,2018.0,90.07,93.78,3.710000000000008,22.0,0.168636363636364,18.0,False,LEVE
8100,Pz-51,1501,VALLE DE TOLUCA,México,19.41425,-99.48865,2605.0,1996.0,1997.0,52.21,52.31,0.10000000000000142,1.0,0.10000000000000142,2.0,False,LEVE
5091,.6878V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.476508,-99.103158,2235.0,2005.0,2025.0,40.62,42.5,1.8800000000000026,20.0,0.09400000000000013,14.0,False,LEVE
5095,.136-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.540789,-99.233315,2265.0,1997.0,2008.0,37.28,37.46,0.17999999999999972,11.0,0.016363636363636337,10.0,False,LEVE
8071,Pz-01,1501,VALLE DE TOLUCA,México,19.099917,-99.533667,2565.0,1996.0,1997.0,27.92,27.93,0.00999999999999801,1.0,0.00999999999999801,2.0,False,LEVE
5133,.DX-86V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.5015,-99.202944,2250.0,1997.0,2025.0,63.33,63.0,-0.3299999999999983,28.0,-0.011785714285714224,22.0,False,RECUPERACION_O_ESTABLE
5088,0.66949999999999998,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.466455,-99.079982,2234.0,1997.0,2025.0,19.06,18.3,-0.759999999999998,28.0,-0.027142857142857073,21.0,False,RECUPERACION_O_ESTABLE
8081,Pz-17,1501,VALLE DE TOLUCA,México,19.23315,-99.540083,2573.87,1996.0,1997.0,10.6,10.56,-0.03999999999999915,1.0,-0.03999999999999915,2.0,False,RECUPERACION_O_ESTABLE
5102,.134-B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.244545,-99.078576,2246.0,1997.0,2006.0,37.28,36.86,-0.4200000000000017,9.0,-0.046666666666666856,7.0,False,RECUPERACION_O_ESTABLE
8094,Pz-41,1501,VALLE DE TOLUCA,México,19.3685,-99.756233,2603.13,1996.0,1997.0,17.5,17.45,-0.05000000000000071,1.0,-0.05000000000000071,2.0,False,RECUPERACION_O_ESTABLE
8085,Pz-24,1501,VALLE DE TOLUCA,México,19.26775,-99.482383,2573.24,1996.0,1997.0,39.16,39.1,-0.05999999999999517,1.0,-0.05999999999999517,2.0,False,RECUPERACION_O_ESTABLE
5138,.HA-77V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.482665,-99.287727,2349.0,1996.0,2019.0,46.22,43.2,-3.019999999999996,23.0,-0.13130434782608677,23.0,False,RECUPERACION_O_ESTABLE
5132,.DW-47,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.488,-99.200806,2250.0,1996.0,2025.0,67.25,63.0,-4.25,29.0,-0.14655172413793102,18.0,False,RECUPERACION_O_ESTABLE
8082,Pz-19,1501,VALLE DE TOLUCA,México,19.243767,-99.477783,2571.57,1996.0,1997.0,38.38,38.23,-0.15000000000000568,1.0,-0.15000000000000568,2.0,False,RECUPERACION_O_ESTABLE
5149,.RS-11,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.285333,-99.147731,2253.0,1997.0,2007.0,66.56,64.48,-2.0799999999999983,10.0,-0.20799999999999982,5.0,False,RECUPERACION_O_ESTABLE
5131,.C-411V,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.537556,-99.143497,2251.0,1996.0,2025.0,12.75,4.79,-7.96,29.0,-0.27448275862068966,28.0,False,RECUPERACION_O_ESTABLE
5137,.FC-96,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.479445,-99.168488,2250.0,1996.0,2018.0,63.88,56.02,-7.859999999999999,22.0,-0.35727272727272724,19.0,False,RECUPERACION_O_ESTABLE
8106,Pz-60,1501,VALLE DE TOLUCA,México,19.457733,-99.746067,2563.52,1996.0,1997.0,30.59,30.22,-0.370000000000001,1.0,-0.370000000000001,2.0,False,RECUPERACION_O_ESTABLE
8088,Pz-32,1501,VALLE DE TOLUCA,México,19.317817,-99.731967,2690.72,1996.0,1997.0,95.82,95.42,-0.3999999999999915,1.0,-0.3999999999999915,2.0,False,RECUPERACION_O_ESTABLE
8111,Pz-36,1501,VALLE DE TOLUCA,México,19.522767,-99.7432,2564.52,1996.0,1997.0,46.28,45.77,-0.509999999999998,1.0,-0.509999999999998,2.0,False,RECUPERACION_O_ESTABLE
8090,Pz-36,1501,VALLE DE TOLUCA,México,19.34535,-99.801683,2639.97,1996.0,1997.0,24.86,24.26,-0.5999999999999979,1.0,-0.5999999999999979,2.0,False,RECUPERACION_O_ESTABLE
8095,Pz-44,1501,VALLE DE TOLUCA,México,19.39015,-99.64385,2585.82,1996.0,1997.0,25.85,25.19,-0.6600000000000001,1.0,-0.6600000000000001,2.0,False,RECUPERACION_O_ESTABLE
8093,Pz-40,1501,VALLE DE TOLUCA,México,19.364267,-99.49365,2575.1,1996.0,1997.0,35.3,34.46,-0.8399999999999963,1.0,-0.8399999999999963,2.0,False,RECUPERACION_O_ESTABLE
8075,Pz-08,1501,VALLE DE TOLUCA,México,19.16885,-99.498133,2572.27,1996.0,1997.0,22.8,21.96,-0.8399999999999999,1.0,-0.8399999999999999,2.0,False,RECUPERACION_O_ESTABLE
8096,Pz-46,1501,VALLE DE TOLUCA,México,19.396533,-99.49745,2579.82,1996.0,1997.0,37.38,36.38,-1.0,1.0,-1.0,2.0,False,RECUPERACION_O_ESTABLE
8099,Pz-49,1501,VALLE DE TOLUCA,México,19.4011,-99.851217,2588.21,1996.0,1997.0,11.06,9.94,-1.120000000000001,1.0,-1.120000000000001,2.0,False,RECUPERACION_O_ESTABLE
5162,13DFE100309/26HMGC18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.384056,-99.031222,2224.53,,,,,,,,1.0,False,SIN_SERIE
5164,13DFE100309/26HMGC18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.420556,-99.075278,2225.72,,,,,,,,1.0,False,SIN_SERIE
5165,Pozo R. 25,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.200078,-99.012065,2339.38,,,,,,,,1.0,False,SIN_SERIE
5166,San Pedro Actopan,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.211892,-99.048875,2431.92,,,,,,,,1.0,False,SIN_SERIE
5168,NEZA A 24,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.302949,-99.085964,2234.48,,,,,,,,1.0,False,SIN_SERIE
5169,Pozo No. 3,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.227367,-98.993995,2251.43,,,,,,,,1.0,False,SIN_SERIE
5172,Tecomitl 22,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.220043,-98.99593,2268.3,,,,,,,,1.0,False,SIN_SERIE
5173,TECOMITL 4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.222528,-98.993028,2246.45,,,,,,,,1.0,False,SIN_SERIE
5174,Tecomitl 15,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.207722,-98.978889,2250.46,,,,,,,,1.0,False,SIN_SERIE
5176,Boehringer Ingelheim,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.251119,-99.113628,2245.69,,,,,,,,1.0,False,SIN_SERIE
5177,San Luis 18,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.250357,-99.070858,2244.9,,,,,,,,1.0,False,SIN_SERIE
5178,PN_OBS_001,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.254649,-99.066802,2243.26,,,,,,,,1.0,False,SIN_SERIE
5179,ZMCM-01,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.50998,-99.225243,2267.18,,,,,,,,1.0,False,SIN_SERIE
5180,Satélite pozo 2,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.506925,-99.221591,2254.83,,,,,,,,1.0,False,SIN_SERIE
5181,.A-471 (Pozo Satélite 7),0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.504606,-99.225421,2260.77,,,,,,,,1.0,False,SIN_SERIE
5182,.137-B/2,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.528934,-99.247479,2273.93,,,,,,,,1.0,False,SIN_SERIE
5186,ZMCM-03,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.322194,-99.097028,2236.4,,,,,,,,1.0,False,SIN_SERIE
5187,ZMCM-04,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.361222,-99.071083,2231.08,,,,,,,,1.0,False,SIN_SERIE
5188,.5311/2,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.380058,-99.134722,2229.29,,,,,,,,1.0,False,SIN_SERIE
5189,ZMCM-05,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.430556,-99.105,2226.41,,,,,,,,1.0,False,SIN_SERIE
5190,ZMCM-06,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.233333,-99.130333,2361.07,,,,,,,,1.0,False,SIN_SERIE
5191,ZMCM-07,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.484722,-99.199722,2245.64,,,,,,,,1.0,False,SIN_SERIE
5192,ZMCM-08,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.496194,-99.201194,2245.47,,,,,,,,1.0,False,SIN_SERIE
5193,ZMCM-09,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.47825,-99.163556,2234.13,,,,,,,,1.0,False,SIN_SERIE
5195,Balneario Ojo de agua,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.477318,-99.297328,2392.09,,,,,,,,1.0,False,SIN_SERIE
8076,Pz-09,1501,VALLE DE TOLUCA,México,19.16955,-99.57235,2586.56,,,,,,,,1.0,False,SIN_SERIE
8078,Pz-12,1501,VALLE DE TOLUCA,México,19.1958,-99.490433,2574.88,,,,,,,,1.0,False,SIN_SERIE
8102,Pz-54,1501,VALLE DE TOLUCA,México,19.421717,-99.57855,2583.18,,,,,,,,1.0,False,SIN_SERIE
8112,No. 44 Las Torrecillas,1501,VALLE DE TOLUCA,México,19.265521,-99.600202,2612.8,,,,,,,,1.0,False,SIN_SERIE
8113,No. 7,1501,VALLE DE TOLUCA,México,19.267583,-99.593682,2606.3,,,,,,,,1.0,False,SIN_SERIE
8114,No. 11 Las Marinas,1501,VALLE DE TOLUCA,México,19.274825,-99.597363,2607.8,,,,,,,,1.0,False,SIN_SERIE
8115,No. 15 Tollocan,1501,VALLE DE TOLUCA,México,19.286302,-99.58947,2596.4,,,,,,,,1.0,False,SIN_SERIE
8116,Barrio Canaleja o Zacatipan,1501,VALLE DE TOLUCA,México,19.328417,-99.597458,2594.5,,,,,,,,1.0,False,SIN_SERIE
8117,Bicentenario Otzacatipan,1501,VALLE DE TOLUCA,México,19.315878,-99.599516,2595.5,,,,,,,,1.0,False,SIN_SERIE
8118,Geovillas San Mateo,1501,VALLE DE TOLUCA,México,19.318136,-99.594688,2593.4,,,,,,,,1.0,False,SIN_SERIE
8119,Fuentes de la Independencia,1501,VALLE DE TOLUCA,México,19.310649,-99.59807,2597.0,,,,,,,,1.0,False,SIN_SERIE
8120,Departamento Tecnico,1501,VALLE DE TOLUCA,México,19.280747,-99.65388,2667.7,,,,,,,,1.0,False,SIN_SERIE
8121,Parque Metropolitano 1,1501,VALLE DE TOLUCA,México,19.270903,-99.655021,2681.6,,,,,,,,1.0,False,SIN_SERIE
