titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,volumen_punto_m3_anio,volumen_punto_hm3_anio,fecha_titulo,latitud,longitud,cve_acui,nom_acui,en_bbox_piloto,fuente
13MEX109161,"DESARROLLO DE INGENIERIA CIVIL, S.A.",SERVICIOS,77280.0,0.07728,77280.0,0.07728,2018-07-11,19.37754805555556,-99.29055955555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100777/26EMGR99,AUTOFINANCIAMIENTO MÉXICO S.A. DE C.V.,SERVICIOS,8432.0,0.008432,8432.0,0.008432,1999-09-13,19.335555555555555,-99.18333333333334,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100146/26FMGR95,"PIRAMIDE, S.A. DE C.V.",INDUSTRIAL,22457.0,0.022457,22457.0,0.022457,1995-08-15,19.442222222222224,-99.18583333333332,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100095/26FMGR03,"PROPIMEX, S.A. DE C.V.",INDUSTRIAL,110000.0,0.11,110000.0,0.11,1994-12-22,19.36138888888889,-99.15944444444445,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100632/26CMGR96,DR. GUSTAVO BAZ DIAZ LOMBARDO,DOMÉSTICO,290.0,0.00029,290.0,0.00029,1996-08-07,19.32555555555556,-99.22055555555556,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100067/26FMGR05,"CERVECERÍA MODELO, S.A. DE C.V.",INDUSTRIAL,95562.0,0.095562,95562.0,0.095562,1995-04-18,19.418472222222224,-99.15222222222222,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100644/26FMGR96,"INMOBILIARIA MOTKE, S. A. DE C. V.",INDUSTRIAL,21600.0,0.0216,21600.0,0.0216,1996-11-02,19.43777777777778,-99.17361111111111,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100153/26FMGR06,"VIDRIERA MÉXICO, S.A. DE C.V.",INDUSTRIAL,61000.0,0.061,30500.0,0.0305,1995-11-06,19.44436111111111,-99.20397222222222,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100153/26FMGR06,"VIDRIERA MÉXICO, S.A. DE C.V.",INDUSTRIAL,407340.0,0.40734,203670.0,0.20367,1995-11-06,19.4445,-99.20461111111112,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100176/26FMGR06,TEODORO AMERLINCK Y ZIRION,INDUSTRIAL,1002.0,0.001002,1002.0,0.001002,1996-08-07,19.35527777777778,-99.19694444444444,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100509/26APGR06,MARÍA DELFINA RAMÍREZ CRUZ,AGRÍCOLA,75.0,7.5e-05,75.0,7.5e-05,1996-05-17,19.32638888888889,-99.29388888888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
5DFE100066/26FMGR94,"SYNTEX, S.A. DE C.V.",INDUSTRIAL,13530.0,0.01353,13530.0,0.01353,1994-11-24,19.38611111111111,-99.24166666666667,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
13DFE100641/26FMDA08,"CERVECERIA MODELO, S.A. DE C.V.",INDUSTRIAL,1651.0,0.001651,1651.0,0.001651,1996-08-14,19.433333333333334,-99.43916666666668,1501,VALLE DE TOLUCA,True,REPDA_ANEXOS_SUB_2025-06
13DFE100158/26FMDA08,"HOTEL GENEVE, S.A. DE C.V.",INDUSTRIAL,10065.0,0.010065,5032.5,0.0050325,1996-09-19,19.42480555555556,-99.1641388888889,0901,ZONA METROPOLITANA DE LA CD. DE MEXICO,True,REPDA_ANEXOS_SUB_2025-06
