titulo,titular,uso,volumen_m3_anio,volumen_hm3_anio,fecha_titulo,colonia,alcaldia,en_poniente
13DFE100702/26FMGR97,"INDUSTRIA EMBOTELLADORA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,293760.0,0.29376,1997-09-03,Esperanza,Cuauhtemoc,False
13DFE100703/26FMGR97,"ELECTROPURA, S. DE R.L. DE C.V.",INDUSTRIAL,101800.0,0.1018,1997-09-10,San Francisco Tetecala,Azcapotzalco,False
13DFE100713/26FMGR97,"ADMINISTRADORA DE INMUEBLES HOTAN, S. A.",INDUSTRIAL,1100.0,0.0011,1998-01-20,Del Gas,Azcapotzalco,False
13DFE100717/26EMGR98,MARIA DE LA PAZ GARCIA POSADA,SERVICIOS,2800.0,0.0028,1998-08-25,Valle Gomez,Cuauhtemoc,False
13DFE100727/26EMGR00,I. M. S. S. CENTRO MEDICO NACIONAL LA RAZA(CENTRAL DE SERVICIOS),SERVICIOS,3500.0,0.0035,2000-08-02,La Raza,Azcapotzalco,False
13DFE100728,"MONDELEZ MEXICO, S. DE R.L. DE C.V.",INDUSTRIAL,22000.0,0.022,1998-11-04,Gertrudis Sanchez 1Ra Secc,Gustavo A. Madero,False
13DFE100730/26EMGR98,JUAN XOLALPA JIMENEZ,SERVICIOS,64260.0,0.06426,1998-12-23,2Do Tramo 20 De Noviembre,Venustiano Carranza,False
13DFE100760/26FMDA17,"COMERCIALIZADORA DE LACTEOS Y DERIVADOS, S.A. DE C.V.",INDUSTRIAL,551888.0,0.551888,2000-08-30,Estacion Pantaco,Azcapotzalco,False
13DFE100762/26EMDA09,"PANTEON JARDIN DE MEXICO, S.A.",SERVICIOS,1071.0,0.001071,1999-07-26,Parque Las Aguilas,Alvaro Obregon,True
13DFE100765/26FMGR03,"PROCTER & GAMBLE MANUFACTURA, S. DE R. L. DE C.V.",INDUSTRIAL,24450.0,0.02445,1999-08-02,Industrial Vallejo,Azcapotzalco,False
13DFE100767/26FMDA17,PEMEX REFINACION,INDUSTRIAL,12660.0,0.01266,1999-08-02,Refineria 18 De Marzo,Miguel Hidalgo,True
13DFE100770/26FMGR99,"PLUS GRUPO INMOBILIARIO, S. A.DE C. V.",INDUSTRIAL,145000.0,0.145,1999-08-30,Angel Zimbron,Azcapotzalco,False
13DFE100771/26EMDA10,INSTITUTO MEXICANO DEL SEGURO SOCIAL UNIDAD MORELOS,SERVICIOS,32510.0,0.03251,1999-08-30,Vasco De Quiroga,Gustavo A. Madero,False
13DFE100772/26FMGR99,"INMUEBLES CANTABRIA, S. A. DE C. V.",INDUSTRIAL,15000.0,0.015,1999-08-30,Transito,Cuauhtemoc,False
13DFE100773/26FMGR99,"INDUSTRIAS ROJAS Y ASOCIADOS, S. A. DE C. V.",INDUSTRIAL,98761.0,0.098761,1999-08-30,Industrial Vallejo,Azcapotzalco,False
13DFE100777/26EMGR99,AUTOFINANCIAMIENTO MÉXICO S.A. DE C.V.,SERVICIOS,8432.0,0.008432,1999-09-13,Ciudad Universitaria,Coyoacan,False
13DFE100779/26FMDA11,"BAYER DE MEXICO, S.A. DE C.V.",INDUSTRIAL,3000.0,0.003,1999-11-03,Granada,Miguel Hidalgo,True
13DFE100785/26FMDA08,"GARCÍA BÁRCENA Y COMPAÑÍA, S.C.",INDUSTRIAL,36288.0,0.036288,2001-12-06,San Salvador Xochimanca,Azcapotzalco,False
13DFE100861/26FMGR06,"COMPAÑÍA HULERA TORNEL, S.A. DE C.V.",INDUSTRIAL,38000.0,0.038,2001-11-13,Industrial San Antonio,Azcapotzalco,False
13DFE100877/26FMOC07,"MALLINCKRODT MEDICAL, S. A. DE C.V.",INDUSTRIAL,50000.0,0.05,2003-02-04,Barrio San Miguel,Iztapalapa,False
13DFE100883/26FMDA16,"GRUPO ACYTEX, S. A. DE C. V.",INDUSTRIAL,93600.0,0.0936,2003-01-14,Moctezuma 2Da Secc,Venustiano Carranza,False
13DFE100942/26FMDA08,"CERVEZAS CUAUHTÉMOC MOCTEZUMA, S. A. DE C. V.",INDUSTRIAL,25000.0,0.025,2004-06-22,Euzkadi,Azcapotzalco,False
13DFE100970/26FMDA10,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INDUSTRIAL,67000.0,0.067,2005-10-14,La Loma,Alvaro Obregon,True
13DFE100991/26FMOC07,"EMPAQUES DE CARTON UNITED, S. A DE C.V.",INDUSTRIAL,17000.0,0.017,2007-08-14,Popular Rastro,Venustiano Carranza,False
13DFE100993/26FMDA15,"THE AMERICAN BRITISH COWDRAY MEDICAL CENTER, I. A. P.",INDUSTRIAL,115000.0,0.115,2009-10-30,Las Tinajas,Cuajimalpa De Morelos,True
13DFE101030/26FMDA17,"HERDEZ, S.A. DE C.V.",INDUSTRIAL,100000.0,0.1,2010-02-15,Nueva Argentina,Miguel Hidalgo,True
13DFE101037/26FMOC07,"LEVADURA AZTECA, S. A. DE C.V.",INDUSTRIAL,15000.0,0.015,2007-06-11,Unidad Hab Nonoalco Tlatelolco,Cuauhtemoc,False
13DFE101067/26FMDA09,"BOEHRINGER INGELHEIM PROMECO, S.A. DE C.V.",INDUSTRIAL,148760.0,0.14876,2008-09-12,Unidad Hab Corporacion Xochimilco,Xochimilco,False
13DFE101084/26FMDA13,"BAYER DE MÉXICO, S.A. DE C.V.",INDUSTRIAL,40000.0,0.04,2013-04-30,Granada,Miguel Hidalgo,True
13DFE101085/26FMDA17,"FABRICA DE HIELO LA MODERNA, S.A. DE C.V.",INDUSTRIAL,20000.0,0.02,2008-09-12,San Salvador Xochimanca,Azcapotzalco,False
13DFE101101/26FMDA08,"VITRIUM DIVISION FARMACEUTICA, S.A. DE C.V.",INDUSTRIAL,7978.4,0.0079784,2009-02-04,Granjas Coapa,Tlalpan,False
13DFE101106/26EMDA11,INSTITUTO MEXICANO DEL SEGURO SOCIAL,SERVICIOS,400000.0,0.4,2009-04-13,Los Girasoles Iii,Coyoacan,False
13DFE101111/26FMDA17,"EMBOTELLADORA AGA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,20514.0,0.020514,2009-05-14,Del Valle Sur,Benito Juarez,False
13DFE101113,"CIA. SHERWIN WILLIAMS, S.A. DE C,V.",INDUSTRIAL,10400.0,0.0104,2013-04-30,Industrial Vallejo,Azcapotzalco,False
13DFE101136/26JMDA11,LUZ Y FUERZA DEL CENTRO,GENERACIÓN DE ENERGÍA,40000.0,0.04,2011-09-30,Buenavista,Cuauhtemoc,False
13DFE101154/26FMDA11,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,INDUSTRIAL,70064.0,0.070064,2012-05-15,Refineria 18 De Marzo,Miguel Hidalgo,True
13DFE101165/26JMDA11,LUZ Y FUERZA DEL CENTRO,GENERACIÓN DE ENERGÍA,33600.0,0.0336,2011-10-31,Tlaxpana,Miguel Hidalgo,True
13DFE101181/26EMDA12,"INMUEBLES GENERAL, S.A DE C.V.",SERVICIOS,287000.0,0.287,2012-03-22,Ampl Granada,Miguel Hidalgo,True
13DFE101182/26FMDA17,"INMOBILIARIA OLFAM, S.A. DE C.V.",INDUSTRIAL,29720.0,0.02972,2012-03-12,Industrial Vallejo,Azcapotzalco,False
13DFE150147/26FMDA18,"INMOBILIARIA GP, S.A. DE C.V.",INDUSTRIAL,40000.0,0.04,2013-01-08,Viejo Ejido Santa Ursula Coapa,Coyoacan,False
13DFE155954/26FMGC17,ALQUILADORA DE CASAS S.A. DE C.V.,INDUSTRIAL,245000.0,0.245,2017-11-20,Anahuac,Miguel Hidalgo,True
13DFE160038/26FMDA19,"TAPON CORONA, S. A. DE C. V.",INDUSTRIAL,11396.0,0.011396,2019-02-20,Unidad Hab Manuel Rivera Anaya,Azcapotzalco,False
13HGO100582/26EMDL08,"INDUSTRIAS CANNON, S.A. DE C.V.",SERVICIOS,40000.0,0.04,1997-08-27,Desierto De Los Leones,Cuajimalpa De Morelos,True
13MEX100006/26FMGR01,RICARDO LOPEZ GONZALEZ.,INDUSTRIAL,5987.0,0.005987,1994-05-20,Prados Del Rosario,Azcapotzalco,False
13MEX100115/26FMDA18,"HARINERA TLALNEPANTLA, S.A. DE C.V.",INDUSTRIAL,5000.0,0.005,1995-07-20,Industrial Vallejo,Azcapotzalco,False
13MEX100150/26FMGR05,"GRUPO INDUSTRIAL ASTRO, S. A. DE C. V.",INDUSTRIAL,24192.0,0.024192,1994-11-18,Infonavit El Rosario,Azcapotzalco,False
13MEX100524/26FMGR05,"TERCIOPELOS SELECTOS, S.A. DE C.V.",INDUSTRIAL,1200.0,0.0012,1997-03-12,Mexico Nuevo,Miguel Hidalgo,True
13MEX100557,INMOBILIARIA CARPER S.A DE C.V,INDUSTRIAL,11533.0,0.011533,1994-12-13,Infonavit El Rosario,Azcapotzalco,False
13MEX101184/26FMDA17,MOISES TARTAKOVSKI GODMAN Y COPROPIETARIOS,INDUSTRIAL,125000.0,0.125,1995-12-06,Ampl San Pedro Xalpa,Azcapotzalco,False
13MEX101209/26FMDA08,"CORRUGADOS Y PERFILES COMERCIALES, S.A. DE C.V.",INDUSTRIAL,5240.0,0.00524,1996-05-16,Prados Del Rosario,Azcapotzalco,False
13MEX101211/26FMDA17,"PROMOTORA AMIN, S.A. (COLORTEX, S.A. DE C.V.)",INDUSTRIAL,166360.0,0.16636,1995-11-06,San Lorenzo Tlaltenango,Miguel Hidalgo,True
13MEX101243/26FMGR04,"INMOBILIARIA BAME, S.A. DE C.V.",INDUSTRIAL,40000.0,0.04,1995-12-28,San Lorenzo Tlaltenango,Miguel Hidalgo,True
13MEX101247/26FMDA09,"UNIDAD TEXTIL PUENTE, S. A. DE C. V.",INDUSTRIAL,15802.0,0.015802,1997-07-01,Infonavit El Rosario,Azcapotzalco,False
13MEX101277/26FMDA09,"PROCTER & GAMBLE MANUFACTURA, S. DE R. L. DE C. V.",INDUSTRIAL,45000.0,0.045,1995-11-28,Ampl San Pedro Xalpa,Azcapotzalco,False
13MEX101287/26FMGR06,"ALIMENTOS INDUSTRIALES, S.A. DE C.V.",INDUSTRIAL,2827.0,0.002827,1995-11-29,Nueva Atzacoalco,Gustavo A. Madero,False
13MEX101573/26IMGR06,RODOLFO ZANELLA SCHIEVENINI,DIFERENTES USOS,6000.0,0.006,1996-10-02,Plan De Ayala,Tlalpan,False
13MEX102159/26FMDA16,"EL LEON, S.A. DE C.V.",INDUSTRIAL,2641.0,0.002641,1996-05-06,Ampl San Pedro Xalpa,Azcapotzalco,False
13MEX102311/26EMDA08,"DETROIT INDUSTRIA TERMICA, S. A. DE C.V.",SERVICIOS,1600.0,0.0016,1996-07-04,Juan Gonzalez Romero,Gustavo A. Madero,False
13MEX102603/26FMDA08,"INMOBILIARIA ECFA, S. A. DE C. V.",INDUSTRIAL,50000.0,0.05,1997-04-15,Infonavit El Rosario,Azcapotzalco,False
13MEX102623/26FMDA13,"EL PATO, S.A. DE C.V.",INDUSTRIAL,4042.0,0.004042,1997-06-24,San Lorenzo Tlaltenango,Miguel Hidalgo,True
13MEX103331/26FMGR97,"ROBERTO FRANCISCO ARNSTEIN RADA Y/O INDUSTRIAS A B C, S. A. DE C. V.",INDUSTRIAL,3215.0,0.003215,1997-12-31,Nueva Argentina,Miguel Hidalgo,True
13MEX104082/26FPGR98,"TUAL INDUSTRIAL, S.A. DE C.V.",INDUSTRIAL,399.0,0.000399,1999-01-13,Unidad Ecologica Novedades Impacto,Azcapotzalco,False
13MEX104245/26HSDA16,"ORGANISMO PUBLICO DESCENTRALIZADO PARA LA PRESTACION DE LOS SERVICIOS DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DEL MUNICIPIO DE TLALNEPANTLA",PÚBLICO URBANO,874591.25,0.87459125,1999-12-14,Industrial Vallejo,Azcapotzalco,False
13MEX104269/26AMGR99,"AGUSTINA AJA GOMEZ, MARIA CRISTINA GUTIERREZ AJA, PEDRO GUTIERREZ AJA, LUIS GUTIERREZ AJA, AGUSTIN GUTIERREZ AJA, JESUS GUTIERREZ AJA Y JERONIMO GUTIERREZ AJA.",AGRÍCOLA,42048.0,0.042048,1999-04-26,Del Pedregal,Coyoacan,False
13MEX105329/26HMDA08,"SISTEMA DE AGUA POTABLE LOS REYES ACOZAC, MEXICO, A. C.",PÚBLICO URBANO,709560.0,0.70956,1999-10-18,Quiahuatla,Tlahuac,False
13MEX105358/26FMDA11,"GRUPO INDUSTRIAL ASTRO, S. A. DE C. V.",INDUSTRIAL,70000.0,0.07,1999-11-10,Santo Tomas Ajusco,Tlalpan,False
13MEX105360/26FMDA10,"UNIDAD TEXTIL PUENTE, S. A. DE C. V.",INDUSTRIAL,54820.0,0.05482,1999-12-13,Infonavit El Rosario,Azcapotzalco,False
13MEX105379/26IMGR99,JOSEFINA MONTE AJA Y MANUEL MODESTO MONTE FERNANDEZ,DIFERENTES USOS,1493000.0,1.493,2000-01-24,Luis Echeverria Alvarez,Iztapalapa,False
