num_pozo,nom_pozo,cve_acui,nom_acuif,nom_edo,latitud,longitud,anio_primero,anio_ultimo,pne_primero_m,pne_ultimo_m,delta_pne_m,tasa_abatimiento_m_anio,n_obs,nivel_estres,id_colonia,colonia,alcaldia,en_poniente,label,dist_colonia_m,en_bbox_piloto
5137,.FC-96,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.479445,-99.168488,1996.0,2018.0,63.88,56.02,-7.859999999999999,-0.35727272727272724,19,RECUPERACION_O_ESTABLE,11446.0,Estacion Pantaco,Azcapotzalco,False,Estacion Pantaco — Azcapotzalco,0.0,False
5139,.RN-2B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.307367,-99.091162,1996.0,2019.0,53.56,72.95,19.39,0.8430434782608696,20,MEDIO,13040.0,Parque Ecologico De Xochimilco,Xochimilco,False,Parque Ecologico De Xochimilco — Xochimilco,0.0,False
5140,.RN-4,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.302778,-99.086524,1996.0,2019.0,55.62,73.39,17.770000000000003,0.772608695652174,19,MEDIO,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5141,.RN-7B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.29443,-99.080494,1996.0,2019.0,54.74,115.02,60.279999999999994,2.620869565217391,15,ALTO,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5142,.RN-10BIS,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.286409,-99.071801,1996.0,2009.0,61.82,67.95,6.130000000000003,0.47153846153846174,12,MEDIO,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5143,.RN-14C,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.280376,-99.06012,2005.0,2019.0,56.26,71.26,15.000000000000007,1.0714285714285718,4,ALTO,12617.0,Del Mar,Tlahuac,False,Del Mar — Tlahuac,7.268907147600513,False
5144,.RN-15B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.27829,-99.056113,2008.0,2019.0,58.96,69.02,10.059999999999995,0.9145454545454541,6,MEDIO,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5145,.RN-18D,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.272907,-99.044177,2008.0,2019.0,57.08,98.79,41.71000000000001,3.7918181818181824,4,ALTO,13039.0,La Cienega Chica,Xochimilco,False,La Cienega Chica — Xochimilco,0.0,False
5146,.RS-1B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.298604,-99.101189,1997.0,2007.0,52.9,60.69,7.789999999999999,0.7789999999999999,9,MEDIO,12782.0,Infonavit Doctor Ignacio Chavez,Tlalpan,False,Infonavit Doctor Ignacio Chavez — Tlalpan,0.0,False
5147,.RS-5B,0901,ZONA METROPOLITANA DE LA CD. DE MÉXICO,Ciudad de México,19.28642,-99.118608,1997.0,2011.0,51.71,61.7,9.990000000000002,0.7135714285714287,10,MEDIO,13038.0,San Lorenzo La Cebada,Xochimilco,False,San Lorenzo La Cebada — Xochimilco,0.0,False
